taxon	sequenceID	name	species	full_name	combined-species-and-virus-name	combined-species-and-virus-full-name	subfamily	genus	subgenus	clade
alignment/AL_GENUS_Spumaretrovirus/member/ncbi-refseqs-xrv/AB923518	AB923518	SFVjmac	Simiispumavirus macfus	simian foamy virus Macaca fuscata	Simiispumavirus macfus (SFVjmac)	Simiispumavirus macfus (simian foamy virus Macaca fuscata)	Spumaretrovirinae	Spumavirus	Simispumavirus	III
alignment/AL_GENUS_Spumaretrovirus/member/ncbi-refseqs-xrv/AF201902	AF201902	EFV	Equispumavirus equcab	equine foamy virus Equus caballus	Equispumavirus equcab (EFV)	Equispumavirus equcab (equine foamy virus Equus caballus)	Spumaretrovirinae	Spumavirus	Equispumavirus	III
alignment/AL_GENUS_Spumaretrovirus/member/ncbi-refseqs-xrv/AJ544579	AJ544579	SFVora	Simiispumavirus ponpygpyg	simian foamy virus Pongo pygmaeus pygmaeus	Simiispumavirus ponpygpyg (SFVora)	Simiispumavirus ponpygpyg (simian foamy virus Pongo pygmaeus pygmaeus)	Spumaretrovirinae	Spumavirus	Simispumavirus	III
alignment/AL_GENUS_Spumaretrovirus/member/ncbi-refseqs-xrv/AJ564746	AJ564746	FFV	Felispumavirus felcat	feline foamy virus Felis catus	Felispumavirus felcat (FFV)	Felispumavirus felcat (feline foamy virus Felis catus)	Spumaretrovirinae	Spumavirus	Felispumavirus	III
alignment/AL_GENUS_Spumaretrovirus/member/ncbi-refseqs-xrv/EU010385	EU010385	SFVspi	Simiispumavirus atespp	simian foamy virus Ateles spp.	Simiispumavirus atespp (SFVspi)	Simiispumavirus atespp (simian foamy virus Ateles spp.)	Spumaretrovirinae	Spumavirus	Simispumavirus	III
alignment/AL_GENUS_Spumaretrovirus/member/ncbi-refseqs-xrv/GU356394	GU356394	SFVsqu	Simiispumavirus saisci	simian foamy virus Saimiri sciureus	Simiispumavirus saisci (SFVsqu)	Simiispumavirus saisci (simian foamy virus Saimiri sciureus)	Spumaretrovirinae	Spumavirus	Simispumavirus	III
alignment/AL_GENUS_Spumaretrovirus/member/ncbi-refseqs-xrv/GU356395	GU356395	SFVmarm	Simiispumavirus caljac	simian foamy virus Callithrix jacchus	Simiispumavirus caljac (SFVmarm)	Simiispumavirus caljac (simian foamy virus Callithrix jacchus)	Spumaretrovirinae	Spumavirus	Simispumavirus	III
alignment/AL_GENUS_Spumaretrovirus/member/ncbi-refseqs-xrv/HM245790	HM245790	SFVgor	Simiispumavirus gorgorgor	simian foamy virus Gorilla gorilla gorilla	Simiispumavirus gorgorgor (SFVgor)	Simiispumavirus gorgorgor (simian foamy virus Gorilla gorilla gorilla)	Spumaretrovirinae	Spumavirus	Simispumavirus	III
alignment/AL_GENUS_Spumaretrovirus/member/ncbi-refseqs-xrv/JQ867463	JQ867463	SFVcptt	Simiispumavirus pantrotro	simian foamy virus Pan troglodytes troglodytes	Simiispumavirus pantrotro (SFVcptt)	Simiispumavirus pantrotro (simian foamy virus Pan troglodytes troglodytes)	Spumaretrovirinae	Spumavirus	Simispumavirus	III
alignment/AL_GENUS_Spumaretrovirus/member/ncbi-refseqs-xrv/JQ867466	JQ867466	SFVgue	Simiispumavirus cernic	simian foamy virus Cercopithecus nictitans	Simiispumavirus cernic (SFVgue)	Simiispumavirus cernic (simian foamy virus Cercopithecus nictitans)	Spumaretrovirinae	Spumavirus	Simispumavirus	III
