taxon	sequenceID	name	species	full_name	subfamily	genus	subgenus	clade
alignment/AL_UNC_ROOT_Retroviridae_RT/member/fasta-refseqs-xrv-rt/AB923518_SFVjmac_RT	AB923518_SFVjmac_RT	SFVjmac	-	Japanese macaque simian foamy virus	Spumaretrovirinae	Spumavirus	Simispumavirus	III
alignment/AL_UNC_ROOT_Retroviridae_RT/member/fasta-refseqs-xrv-rt/AF033807_MMTV_RT	AF033807_MMTV_RT	MMTV	Betaretrovirus_murmamtum	Mouse mammary tumor virus	Glissorthoretrovirinae	Betaretrovirus	Btype	II
alignment/AL_UNC_ROOT_Retroviridae_RT/member/fasta-refseqs-xrv-rt/AF033808_RSV_RT	AF033808_RSV_RT	RSV	Alpharetrovirus_avirousar	Rous sarcoma virus	Glissorthoretrovirinae	Alpharetrovirus	-	II
alignment/AL_UNC_ROOT_Retroviridae_RT/member/fasta-refseqs-xrv-rt/AF033811_MLV_RT	AF033811_MLV_RT	MLV	Gammaretrovirus_murleu	Moloney murine leukemia virus	Orthoretrovirinae	Gammaretrovirus	MLV_FeLV	I
alignment/AL_UNC_ROOT_Retroviridae_RT/member/fasta-refseqs-xrv-rt/AF033815_MPMV_RT	AF033815_MPMV_RT	MPMV	Betaretrovirus_maspfimon	Mason-Pfizer monkey virus	Glissorthoretrovirinae	Betaretrovirus	Dtype	II
alignment/AL_UNC_ROOT_Retroviridae_RT/member/fasta-refseqs-xrv-rt/AF033817_PTLV1_RT	AF033817_PTLV1_RT	PTLV1	Deltaretrovirus_priTlym4	Primate T-lymphotropic virus 1	Deltaretrovirinae	Deltaretrovirus	Simideltaretrovirus	II
alignment/AL_UNC_ROOT_Retroviridae_RT/member/fasta-refseqs-xrv-rt/AF033819_HIV1M_RT	AF033819_HIV1M_RT	HIV1M 	Lentivirus_humimdef1	Human immunodeficiency virus 2	Lentiretrovirinae	Lentivirus	Similentivirus	II
alignment/AL_UNC_ROOT_Retroviridae_RT/member/fasta-refseqs-xrv-rt/AF033822_WDSV_RT	AF033822_WDSV_RT	WDSV	Epsilonretrovirus_waldersar	Walleye dermal sarcoma virus	Orthoretrovirinae	Epsilonretrovirus	-	I
alignment/AL_UNC_ROOT_Retroviridae_RT/member/fasta-refseqs-xrv-rt/AF052723_FeLV_RT	AF052723_FeLV_RT	FeLV	Gammaretrovirus_felleu	Feline leukemia virus	Orthoretrovirinae	Gammaretrovirus	MLV_FeLV	I
alignment/AL_UNC_ROOT_Retroviridae_RT/member/fasta-refseqs-xrv-rt/AF074966_PTLV1_RT	AF074966_PTLV1_RT	-	-	-	-	-	-	-
alignment/AL_UNC_ROOT_Retroviridae_RT/member/fasta-refseqs-xrv-rt/AF133051_WEHV1_RT	AF133051_WEHV1_RT	WEHV1	Epsilonretrovirus_walepihyp1	Walleye epidermal hyperplasia virus type 1	Orthoretrovirinae	Epsilonretrovirus	-	I
alignment/AL_UNC_ROOT_Retroviridae_RT/member/fasta-refseqs-xrv-rt/AF133052_WEHV2_RT	AF133052_WEHV2_RT	WEHV2	Epsilonretrovirus_walepihyp2	Walleye epidermal hyperplasia virus type 2	Orthoretrovirinae	Epsilonretrovirus	-	I
alignment/AL_UNC_ROOT_Retroviridae_RT/member/fasta-refseqs-xrv-rt/AF151794_Korv_RT	AF151794_Korv_RT	KoRV	Gammaretrovirus_koa	Koala retrovirus	Orthoretrovirinae	Gammaretrovirus	Korv_GALV	I
