sequenceID	sequenceID_RT	NCBI_ref	full_name	name	ictv-species-name	clade	subfamily	genus	subgenus	length
AF033808	AF033808_RSV_RT	NC_001407	Rous sarcoma virus	RSV	Alpharetrovirus avirousar	II	Orthoretrovirinae	Alpharetrovirus		9392
M37980	M37980_ALV_RT	NC_001408	avian leukosis virus - RSA	ALV	Alpharetrovirus avileu	II	Orthoretrovirinae	Alpharetrovirus		7286
AF033807	AF033807_MMTV_RT	NC_001503	mouse mammary tumor virus	MMTV	Betaretrovirus murmamtum	II	Orthoretrovirinae	Betaretrovirus		8805
AF033815	AF033815_MPMV_RT	NC_001550	Mason-Pfizer monkey virus	MPMV	Betaretrovirus maspfimon	II	Orthoretrovirinae	Betaretrovirus		8557
M23385	M23385_SMRVH_RT	NC_001514	squirrel monkey retrovirus-H	SMRVH	Betaretrovirus squmon	II	Orthoretrovirinae	Betaretrovirus		8785
M80216	M80216_JSRV_RT	NC_001494	Jaagsiekte sheep retrovirus	JSRV	Betaretrovirus ovijaa	II	Orthoretrovirinae	Betaretrovirus		7462
AF033818	AF033818_BLV_RT	NC_001414	bovine leukemia virus	BLV	Deltaretrovirus bovleu	II	Orthoretrovirinae	Deltaretrovirus		8419
DQ093792	DQ093792_PTLV3_RT		primate T-lymphotropic virus 3	PTLV3	Deltaretrovirus priTlym3	II	Orthoretrovirinae	Deltaretrovirus		8917
M10060	M10060_PTLV2_RT	NC_001488	human T-lymphotropic virus 2	PTLV2	Deltaretrovirus priTlym2	II	Orthoretrovirinae	Deltaretrovirus		8952
AF033817	AF033817_PTLV1_RT	NC_001436	primate T-lymphotropic virus 1	PTLV1	Deltaretrovirus priTlym1	II	Orthoretrovirinae	Deltaretrovirus		9028
AF033822	AF033822_WDSV_RT	NC_001867	walleye dermal sarcoma virus	WDSV	Epsilonretrovirus waldersar	I	Orthoretrovirinae	Epsilonretrovirus		12708
AF133051	AF133051_WEHV1_RT		walleye epidermal hyperplasia virus type 1	WEHV1	Epsilonretrovirus walepihyp1	I	Orthoretrovirinae	Epsilonretrovirus		12999
AF133052	AF133052_WEHV2_RT		walleye epidermal hyperplasia virus type 2	WEHV2	Epsilonretrovirus walepihyp2	I	Orthoretrovirinae	Epsilonretrovirus		13125
AF151794	AF151794_KoRV_RT	NC_039228	koala retrovirus	KoRV	Gammaretrovirus koa	I	Orthoretrovirinae	Gammaretrovirus		8431
M26927	M26927_GaLV_RT	NC_001885	gibbon ape leukemia virus	GaLV	Gammaretrovirus gibleu	I	Orthoretrovirinae	Gammaretrovirus		8088
AF033811	AF033811_MLV_RT	NC_001501	Moloney murine leukemia virus	MLV	Gammaretrovirus murleu	I	Orthoretrovirinae	Gammaretrovirus		8332
AF052723	AF052723_FeLV_RT	NC_001940	feline leukemia virus	FeLV	Gammaretrovirus felleu	I	Orthoretrovirinae	Gammaretrovirus		8448
AY842951	AY842951_REV_RT	NC_006934	reticuloendotheliosis virus	REV	Gammaretrovirus aviretend	I	Orthoretrovirinae	Gammaretrovirus		8295
AF356697	AF356697_PERVE_RT		porcine endogenous retrovirus E	PERVE	Gammaretrovirus porConc	I	Orthoretrovirinae	Gammaretrovirus		8072
M32690	M32690_BIV_RT	NC_001413	bovine immunodeficiency virus	BIV 	Lentivirus bovimdef	II	Orthoretrovirinae	Lentivirus		8482
U21603	U21603_JDV_RT	NC_001654	Jembrana disease virus	JDV 	Lentivirus bovjem	II	Orthoretrovirinae	Lentivirus		7732
M16575	M16575_EIAV_RT		equine infectious anemia virus America strain	EIAV 	Lentivirus equinfane	II	Orthoretrovirinae	Lentivirus		8407
M25381	M25381_FIV-P_RT		feline immunodeficiency virus Petaluma strain	FIVP	Lentivirus felimdef	II	Orthoretrovirinae	Lentivirus		9474
U03982	U03982_PLV_RT	NC_038669	puma lentivirus 14	PLV	Lentivirus pum	II	Orthoretrovirinae	Lentivirus		9100
M33677	M33677_SRLV-B_RT		small ruminant lentivirus genotype B (Caprine arthritis-encephalitis virus)	SRLVB 	Lentivirus capartenc	II	Orthoretrovirinae	Lentivirus		9189
M60609	M60609_SRLV-A_RT		small ruminant lentivirus genotype A (Visna-Maedi Virus)	SRLVA 	Lentivirus ovivismae	II	Orthoretrovirinae	Lentivirus		9221
AF033819	AF033819_HIV1M_RT		human immunodeficiency virus 2	HIV1M 	Lentivirus humimdef1	II	Orthoretrovirinae	Lentivirus		
M30502	M30502_HIV2_RT		human immunodeficiency virus 2	HIV2	Lentivirus humimdef2	II	Orthoretrovirinae	Lentivirus		10359
M58410	M58410_SIV_RT		simian immunodeficiency virus	SIV	Lentivirus simimdef	II	Orthoretrovirinae	Lentivirus		9623
U94514	U94514_BFV_RT	NC_001831	bovine foamy virus Bos taurus	BFV	Bovispumavirus bostau	III	Spumaretrovirinae	Spumavirus	Bovispumavirus	12002
AF201902	AF201902_EFV_RT	NC_002201	equine foamy virus Equus caballus	EFV	Equispumavirus equcab	III	Spumaretrovirinae	Spumavirus	Equispumavirus	12035
AJ564746	AJ564746_FFV_RT	NC_039242	feline foamy virus Felis catus	FFV	Felispumavirus felcat	III	Spumaretrovirinae	Spumavirus	Felispumavirus	11700
KM233624	KM233624_PSFVgal_RT	NC_039023	simian foamy virus Otolemur crassicaudatus	PSFVgal	Prosimiispumavirus otocra	III	Spumaretrovirinae	Spumavirus	Prosimiispumavirus	12118
EU010385	EU010385_SFVspi_RT	NC_039027	simian foamy virus Ateles spp.	SFVspi	Simiispumavirus atespp	III	Spumaretrovirinae	Spumavirus	Simispumavirus	12212
GU356394	GU356394_SFVsqu_RT	NC_039028	simian foamy virus Saimiri sciureus	SFVsqu	Simiispumavirus saisci	III	Spumaretrovirinae	Spumavirus	Simispumavirus	11684
GU356395	GU356395_SFVmarm_RT	NC_039030	simian foamy virus Callithrix jacchus	SFVmarm	Simiispumavirus caljac	III	Spumaretrovirinae	Spumavirus	Simispumavirus	11744
KP143760	KP143760_SFVcapu_RT		simian foamy virus Sapajus xanthosternos	SFVcapu	Simiispumavirus sapxan	III	Spumaretrovirinae	Spumavirus	Simispumavirus	11764
AJ544579	AJ544579_SFVora_RT	NC_039085	simian foamy virus Pongo pygmaeus pygmaeus	SFVora	Simiispumavirus ponpygpyg	III	Spumaretrovirinae	Spumavirus	Simispumavirus	12823
M74895	M74895_SFV3_RT		simian foamy virus Chlorocebus aethiops	SFV3	Simiispumavirus chlaet	III	Spumaretrovirinae	Spumavirus	Simispumavirus	13111
